,다듬을 말,원어,다듬은 말,제출 점수,의미/용례,sorted11 인덱스,원어_검색량,다듬은말_검색량,검색량_가산점
0,"디프 테크, 딥 테크*",deep tech,심층 기술,5.0,"기존의 기술이나 서비스를 개선, 확장하는 것이 아니라 근본적인 혁신을 추구하는 것.",4,0.0,6.0,4
1,뷰티 테크,beauty tech,첨단 미용 기술,4.0,첨단 정보 기술을 미용 분야에 적용한 기술.,5,0.0,0.0,0
2,슈링크플레이션,shrinkflation←shrink+inflation,"양 줄임, 용량 꼼수",4.0,"줄어들다(shirink)와 인플레이션(inflation)을 합친 말로, 가격은 기존과 동일하게 유지하면서 양을 줄여 결과적으로는 물건값이 오르는 효과를 거두는 일.",6,0.0,0.0,0
3,스킴플레이션,skimpflation←skimp+inflation,"질 낮춤, 품질 꼼수",4.0,"인색하다(skimp)와 인플레이션(inflation)을 합친 말로, 값이나 용량은 같지만, 질을 떨어뜨려 물건값이 오르는 효과를 거두는 일.",7,0.0,0.0,0
4,번들플레이션,bundleflation←bundle+inflation,묶음 눈속임,4.0,"묶음(bundle)과 인플레이션(inflation)을 합친 말로, 단위 가격으로 비교했을 때 묶음 상품이 낱개 상품보다 더 비싼 현상.",8,0.0,0.0,0
5,밀크플레이션,milkflation←milk+inflation,"우유발 물가 상승, 유제품 줄인상",4.5,"우유(milk)와 물가상승(inflation)을 합친 말로, 우유 가격이 상승하여 관련 먹거리 가격까지 덩달아 끌어올리는 현상.",9,0.7241379310344828,3.4482758620689653,4
6,퀵 커머스,quick commerce,빠른 배달 거래,4.0,고객이 주문한 물품을 15분에서 1시간 이내에 배송해 주는 서비스. 도심의 여러 물류 센터에 식료품이나 생필품 따위를 보관해 두고 주문이 들어오면 배송 기사에게 즉시 전달하는 방식으로 시간을 단축한다.,10,3.4482758620689653,0.0,-2
7,퀵서비스,quick service,빠른 배달,5.0,"서류나 작은 물건을 빠른 시간 내에 목적지에 전달하는 서비스. 보통 직원이 직접 방문하여, 배달 물건을 가지고 목적지에 전달하는 형태를 띤다.",11,35.58620689655172,0.0,-2
8,마더 팩토리,mother factory,핵심 공장,5.0,"개발과 제조의 중심이 되는 공장. 높은 품질의 제품을 연구·개발하여 부가 가치를 높이는 공정은 이곳에서 하고, 단순한 제조는 해외 공장에서 값싼 인력을 동원하여 이루어진다.",12,0.0,0.0,0
9,온 디바이스 에이아이,On-device AI,단말형 인공지능,5.0,"네트워크를 통한 서버를 거치지 않고, 개별 기기에서 자체적으로 데이터를 수집ㆍ학습하는 인공지능.",13,0.0,0.0,0
10,그린 프리미엄,green premium,친환경 추가비,2.0,온실가스가 덜 배출되는 친환경 제품을 소비하려고 내는 추가 비용,14,3.4482758620689653,0.0,-2
11,플러팅,flirting,호감 표시,4.0,"상대방에게 호감을 가지고 유혹을 목적으로 행동하는 것. 한국말로는 '집적거리다', '추파를 던지다‘와 유사한 말.",15,56.06896551724138,2.206896551724138,-2
12,패스트 패션,fast fashion,빠른 소비 패션,2.0,유행에 따라 소비자의 기호가 바로바로 반영되어 빨리 바뀌는 패션.,16,11.413793103448276,0.0,-2
13,풀필먼트,fulfillment,물류 종합 대행,4.0,"판매자에게서 위탁받은 물류 전문 업체가 상품의 보관, 포장, 배송, 반품, 재고 관리 등 물류의 전 과정을 대행하는 일. 또는 그런 시스템.",17,26.103448275862068,0.0,-2
14,핀플루언서,finfluencer←finance+influencer,금융 여론 형성자,2.0,"금융(finance)과 인플루언서(influeencer)를 합친 말로, 누리소통망(SNS)을 이용해 금융 산업과 관련한 정보를 제공하고 금융 소비자들에게 영향력을 행사하는 사람.",18,3.4482758620689653,0.0,-2
15,밸류업,value up,가치 향상,4.0,"기업이나 조직 등의 가치를 높이려고 제품, 서비스, 프로세스, 시스템, 조직 문화 등 다양한 측면에서 노력하는 것.",19,30.896551724137932,0.0,-2
16,스마트 팩토리,smart factory,첨단 자동 공장,5.0,첨단 정보 통신 기술을 기반으로 제품 생산이 자동으로 이루어지는 공장.,20,33.758620689655174,0.0,-2
17,스마트 오피스,smart office,첨단 정보형 사무실,4.0,"번잡한 도심 대신 주거지와 가까운 곳에 있고, 아이티(IT) 산업을 기반으로 하여 원격 근무를 할 수 있는 사무실.",21,32.62068965517241,0.0,-2
18,스마트 톨링,smart tolling,자동 요금 징수,4.0,"영상 인식이나 무선 통신 기술 등을 이용하여, 고속 도로나 유료 도로를 빠르게 달리고 있는 차량의 통행료를 자동으로 징수하는 시스템.",22,14.137931034482758,0.0,-2
19,멀티모달,multimodal ←multi+modality,다중 양식,4.0,"텍스트, 이미지, 음성, 영상 등 다양한 데이터 양식을 함께 처리하는 양식.",23,14.827586206896552,3.0344827586206895,-2
20,서브컬처,subculture,비주류문화,4.0,사회의 지배적 문화와는 별도로 청소년이나 히피와 같은 특정 사회 집단에서 생겨나서 발전하는 독특한 문화.,24,32.724137931034484,0.0,-2
21,레터 피싱,letter phishing,우편물 빙자 사기,5.0,가짜 출석 요구서 등의 우편물을 보낸 뒤 보이스 피싱을 유도하는 사기 수법. 우편물에 적힌 수사 기관 등에 전화하면 보이스 피싱으로 금전적 피해를 보게 된다.,25,0.0,3.4482758620689653,4
22,크로스 체크,cross-check,교차 검증,5.0,"서로 다른 복수의 관점, 방법, 자료 따위를 대조하여 정보나 보고 따위를 검사하는 일. 또는 그러한 검사 방법.",26,6.413793103448276,13.068965517241379,4
23,멀티 제너레이션,Multi Generation,여러 세대,2.0,초고령화와 평균 수명 연장으로 인해 여러 세대가 공존하는 세대.,27,0.0,0.0,0
24,빌런,villain,악당,2.0,특정한 취미나 사물 따위에 집착하여 독특한 행동을 하는 사람을 이르는 말.,28,78.62068965517241,44.758620689655174,0
25,블랙 라벨,black label,최상급,2.0,기존 의류 브랜드보다 뛰어난 디자인과 품질을 갖추고 소재를 고급화하여 제품의 가격을 높인 것. 외국의 의류 기업들이 검은색 라벨을 붙여 품질을 고급화하고 가격을 높이기 시작하면서 명품 브랜드를 의미하는 용어로 널리 사용되기 시작하였다.,29,54.58620689655172,15.862068965517242,-2
26,리빌딩,rebuilding,재정비,5.0,"야구, 농구, 축구 따위의 팀에서 전력 보강을 위해 기존 선수를 방출하거나 새 선수를 기용하는 일.",30,5.724137931034483,31.310344827586206,4
27,리스킬링,reskilling,직무 전환 교육,2.0,직무 전환을 위해 새로운 기술을 배우는 것.,31,0.0,0.0,0
28,업스킬링,upskilling,역량 강화,3.0,지금 하고 있는 일을 더 잘하거나 복잡한 역할을 수행할 수 있도록 숙련도를 높이는 것.,32,0.0,30.862068965517242,4
29,푸드 마일리지,food mileage,식재료 이동 거리,3.0,식품이 생산지에서 소비자의 식탁에 오르기까지 이동하는 거리.,33,0.0,0.0,0
30,크로스셀링,cross selling,연관 판매,3.0,"① 고객이 이미 구매하려고 하는 제품과 관련된 또는 그 제품을 보완하는 추가 제품을 제안하는 판매 방법.② 금융회사들이 자체 개발한 상품에만 의존하지 않고, 다른 금융회사가 개발한 상품까지 판매하는 적극적 판매 방법.",34,0.0,0.0,0
31,업셀링,upselling,상위 상품 판매,2.0,같은 고객이 이전에 구매한 상품보다 더 비싼 상품을 사도록 유도하는 판매 방법.,35,3.4482758620689653,0.0,-2
32,어그로,aggro,억지 주목,4.0,관심을 끌고 분란을 일으키려고 인터넷 게시판 따위에 자극적인 내용의 글을 올리거나 악의적인 행동을 하는 일.,36,40.206896551724135,0.0,-2
33,포토프레스,photopress←photo+express,"사진 인증, 인생 사진",3.0,사진으로 자신의 정체성이나 취향을 표현하는 것.,37,0.0,3.4482758620689653,4
34,보디프로필/*바디프로필,Body Profile,몸매 인증 사진,3.0,보디(Body)와 프로필(Profile)의 합성어로 운동과 식단 관리로 만든 최상 상태의 신체를 사진으로 촬영해 기념하는 것. 또는 그 사진.,38,0.0,0.0,0
35,로컬 브랜드,local brand,"지역 상표, 지역 대표 상표",4.0,"특정 지역에서 생산되거나, 특정 지역과 관련된 품목을 판매하는 기업. 또는 그런 기업의 상표.",39,24.724137931034484,0.0,-2
36,로코노미,loconomy←local+economy,지역 특화 경제,4.0,지역(local)과 경제(economy)의 합성어로 지역 특산물과 고유문화를 활용한 상품을 소비하는 경제 현상.,40,0.0,0.0,0
37,오프 리시/*오프 리쉬,off leash,목줄 미착용,5.0,"off(∼로부터 떨어진)와 leash(줄)의 합성어로, 반려견이 목줄을 착용하지 않은 것.",41,0.0,0.0,0
38,테라리엄/*테라리움,terrarium,유리병 정원,3.0,"원예에서, 밀폐된 유리그릇이나 아가리가 작은 유리병 따위의 안에 작은 식물을 재배하는 방법. 또는 그 유리 용기.",42,0.0,3.4482758620689653,4
39,아트테리어,arterior←art+interior,"예술 인테리어, 예술 장식",5.0,"아트(art)와 인테리어(interior)의 합성어로 예술가 재능을 활용해 소상공인 매장 내외부 디자인을 개선하고, 상품과 서비스 마케팅에 예술적 요소를 결합하는 것.",43,0.0,0.0,0
40,펫테리어,peterior←pet+interior,"반려동물 인테리어, 동물 친화 장식",5.0,반려동물을 위한 인테리어. 반려동물을 뜻하는 펫(pet)과 인테리어(interior)를 합친 말.,44,0.0,0.0,0
41,펫 시터,pet sitter,반려동물 돌보미,4.0,주인 대신에 반려동물을 돌보는 일을 하는 사람. ‘베이비시터’에서 유추하여 만든 말.,45,12.137931034482758,0.0,-2
42,사운드스케이프,soundscape←sound+landscape,소리 풍경,4.0,"도시와 전원, 자연과 인공 환경 등 모든 곳에 존재하는 소리 환경. 랜드스케이프(landscape)를 모방하여 만든 말.<관련 예문>이번 공연은 소리로 풍경을 그리는 작업인 '소리 풍경(←사운드스케이프)' 개념을 도입한 형태로, '있는 그대로, 살아 움직이는 듯한' 생동감의 시그널인 '소리'에 귀를 기울이고 우리가 알지 못하는 사이 사라지고 또 새롭게 만들어지는 소리에 담긴 이야기와 가치를 보존하고자 시도한다. 《매일신문, 2024년 7월》",46,3.4482758620689653,0.0,-2
43,크루,crew,① 모임 ② 동료,5.0,"공통의 목표나 관심사를 가진 사람들이 모여 형성한 집단 또는 그 구성원.<관련 예문>① ○○대는 한류 콘텐츠에 관심이 많은 국제 학생의 수요를 반영해 전문 댄스 모임(←크루)과 함께한 케이팝(K-POP) 댄스 교실, 한국 요리 교실, 사물놀이 체험 등 다양한 문화 체험 활동을 마련했다. 《파이낸셜뉴스, 2024년 7월》② 올해 첫 번째로 선보였던 영상에는 인천○○점 △△ 점장이 함께 매장에서 근무 중인 동료(←크루(매장 직원))들과 등장했으며, 두 번째 영상에는 제주○○점 △△ 점장이 출연해 매장 내 다양한 친환경 요소를 소개한 바 있다. 《매일경제, 2024년 7월》",47,81.48275862068965,0.0,-2
